category	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change
differentiation	8	ip70S6K_EGF	1.0239324935730854	0.6121675767742303	0.21312967637366323	0.0341206036214098
differentiation	8	iRSK_EGF	0.9393391809699028	0.11734633703637698	0.9305304623475966	-0.09028190788479866
differentiation	9	ip70S6K_EGF	1.0473094507356941	0.27089420660063046	0.5672002827788722	0.06668778140869663
differentiation	9	iRSK_EGF	0.9684490295980329	0.5491808161297845	0.26028464185496686	-0.04625197448549125
EGF_signalling	1	ip70S6K_EGF	0.9551658429952211	0.15685794831459168	0.8044934698147637	-0.06617684855107639
EGF_signalling	1	iRSK_EGF	0.9140579147907757	0.0073916886917275776	2.1312563321439932	-0.12964251742194352
EGF_signalling	2	ip70S6K_EGF	0.9774783835315187	0.503294575715452	0.2981777502099378	-0.032863296627687895
EGF_signalling	2	iRSK_EGF	0.8853383578307764	8.579197926842591e-4	3.0665533126441713	-0.1756991663891332
EGF_signalling	3	ip70S6K_EGF	1.0418253319859534	0.23532093967233678	0.6283394260771465	0.059113421761816554
EGF_signalling	3	iRSK_EGF	0.9526492793406242	0.18272641549194577	0.7381986651645521	-0.06998291546794211
EGF_signalling	4	ip70S6K_EGF	0.9675178694758683	0.3371613991685076	0.4721621525755295	-0.04763978767047512
EGF_signalling	4	iRSK_EGF	0.8389923669520947	0.0020051209117712687	2.6978594336513937	-0.253270409622089
EGF_signalling	5	ip70S6K_EGF	0.9559957600857687	0.2555536437743189	0.5925179223401345	-0.06492387512987378
EGF_signalling	5	iRSK_EGF	0.8661115335959962	0.0023090197233130746	2.6365723573862234	-0.20737527477963724
EGF_signalling	6	ip70S6K_EGF	1.0268161683607508	0.3300408768669484	0.48143226770289105	0.038177918040213754
EGF_signalling	6	iRSK_EGF	0.978574220582775	0.5431176222695958	0.26510610563992254	-0.03124681776455051
EGF_signalling	7	ip70S6K_EGF	0.9746405017978823	0.30971121860122053	0.5090430630049769	-0.03705791901335054
EGF_signalling	7	iRSK_EGF	0.9510908192608907	0.11772686746981047	0.929124411733393	-0.0723449848831555
EGF_signalling	8	ip70S6K_EGF	0.9865430583017801	0.7470793836417471	0.12663324819019792	-0.01954607521800725
EGF_signalling	8	iRSK_EGF	0.9749685106690731	0.4352442280001898	0.36126697957717613	-0.03657247113813717
EGF_signalling	9	ip70S6K_EGF	1.091343449401962	0.051511894996214176	1.28809247319725	0.12610519403019238
EGF_signalling	9	iRSK_EGF	1.0098072806043246	0.8444566292151615	0.07342265062372186	0.014079984218716994
