sample_id	plate_number	treatment	cluster	BMP_signalling	TGFb_signalling	TNFa_signalling	Notch_signalling	Wnt_signalling	EGF_signalling	JAK-STAT_signalling	adhesion	proliferation	differentiation
plate_8_157	plate_8	EGF	2	1.6310775756316598	0.5530746427083142	0.9679316575085233	0.5617342817765694	2.135489208958041	2.1515529014626273	3.9681419239535853	8.385986642674874	5.890633705810374	1.199671707313462
plate_6_181	plate_6	EGF	8	4.6136788971149105	4.992658584363187	4.875074691067803	3.8459585255308486	4.332605951615679	4.292342275084782	3.3292171520183715	5.7072349208806825	4.649030869248174	3.3460269860336886
plate_11_177	plate_11	EGF	4	4.23217194170511	4.495290784362017	5.2754953075551985	2.603067484708329	4.0844112037718645	4.7014347172964825	4.19274373146427	6.585665834400604	5.703969037044904	2.011599120817819
plate_4_166	plate_4	EGF	6	5.178778168063812	7.227110335061329	7.857757401987909	3.848594113176752	4.97197387298917	6.2570054391047645	5.455846520205817	6.161451544378304	5.113307056075534	3.229688106057749
plate_12_167	plate_12	EGF	3	5.512120735060149	6.040755944405374	6.139943421897021	2.0635306168167538	5.740014103630945	6.274042970978621	6.629525343774799	4.988580670155436	5.689810294365314	3.1352888405108836
plate_7_192	plate_7	EGF	3	6.489039298455052	5.464790844571389	5.8490631954230885	3.6480406823541434	6.276238219925428	4.448600606137038	4.429022283437935	5.879067540630702	3.141407673382563	2.215744957348482
plate_8_192	plate_8	EGF	2	1.413599555421961	1.5486125067961212	2.052856940518666	0.9326813229001898	2.462330589083368	1.902352867168585	1.6430764685575094	8.534308255121436	6.112508474420052	0.6569824040872874
plate_10_188	plate_10	EGF	2	3.3271488745182243	4.576903761724892	4.627127774378666	2.1766534384041156	3.0178281691284607	3.3961201669610617	3.046361586867721	6.838969315598012	5.3579717897987456	1.2048206769970962
plate_3_191	plate_3	EGF	7	5.631847798993911	6.201250846700672	6.247477493343242	3.257462492706411	4.944822235537735	7.359850110065463	6.44000077716778	4.892926835667008	4.218427938545757	3.26631888844167
plate_10_189	plate_10	EGF	1	3.163511337851355	6.504111280472237	7.44636364129909	2.3761434197644937	1.8767429699334652	4.136010125052882	2.4150606489380135	8.49159609725439	4.674638012283751	0
plate_13_189	plate_13	EGF	6	6.253792128715421	7.094657583082521	7.080577691255039	3.1177255262129866	6.04429673257001	6.025346828508871	6.59744422578417	5.409001738874996	7.367839069966886	3.693816848430385
plate_4_189	plate_4	EGF	2	2.9032456611934707	2.7832976652983725	3.006735232299855	0.8775818963961779	3.213556348456596	1.9672087349544416	0.47402790820453283	8.102044001372105	5.996220337971668	3.8998025353862658
plate_8_189	plate_8	EGF	2	2.8488286265414615	3.738838699657361	4.144079249263383	1.4543450640385471	3.781157683077959	3.6844150583732116	2.7036914093627966	7.618322042932272	4.299733469622547	2.2628166123170796
plate_9_189	plate_9	EGF	3	3.9295081372335834	4.204425472233156	4.361832642929313	3.7275664720514246	3.0655516149168225	4.27939446331921	4.661849749083902	6.662414596244019	4.742357622549327	2.7676440017148085
plate_11_170	plate_11	EGF	7	2.2418758290236314	5.235820545051988	6.199808770237233	3.294246638747577	5.0709347125125745	5.086474344132962	4.177275341865826	8.591082526799394	0.062125671790099264	2.5450096050738265
plate_6_153	plate_6	EGF	6	7.44938366517564	9.064749149090481	8.423614442195127	3.757156806536282	6.876553088200498	7.809758938275944	7.096292456449191	5.7917377593631745	2.5020430238112743	2.1820851507023504
plate_7_153	plate_7	EGF	2	3.040725867244576	5.628606590624453	6.115939405833625	1.3377273142608226	0.5509068686355787	1.9332334884917546	1.857190154280718	10	3.529551250209427	1.205329313206753
plate_8_153	plate_8	EGF	7	6.973446533470207	7.43836625468335	7.422756391649724	4.912770290698321	8.204451285645778	7.1447223542563005	7.479304879082048	4.681946536105923	4.689904401072754	2.188065636911553
