antibody	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change	type
H3_P	2	ip70S6K_EGF	1.1070066262713023	0.0047847806035684875	2.320137971125177	0.1466638577654782	signalling_state_marker
H3_P	3	ip70S6K_EGF	1.0835366751539128	0.07835579266793033	1.1059288915920158	0.11574798607321694	signalling_state_marker
H3_P	4	ip70S6K_EGF	1.1020133117699	0.19850910167231461	0.7022195759767222	0.14014165104920434	signalling_state_marker
H3_P	5	ip70S6K_EGF	0.9257454029987505	0.13834558161117191	0.8590347065087799	-0.111312614505982	signalling_state_marker
H3_P	6	ip70S6K_EGF	1.0520663733749431	0.4178396564046364	0.37899034429731154	0.07322572508481788	signalling_state_marker
H3_P	7	ip70S6K_EGF	1.055894929843703	0.11430827544458698	0.9419223273490606	0.0784662819168999	signalling_state_marker
H3_P	8	ip70S6K_EGF	1.019630351969548	0.7249652543198204	0.1396828075238681	0.028046224710688707	signalling_state_marker
H3_P	9	ip70S6K_EGF	0.9537910429771547	0.5675485297245342	0.24599699705913872	-0.06825486039698343	signalling_state_marker
IKBA	1	ip70S6K_EGF	0.9994689219220532	0.990821392925449	0.004004625088649219	-7.663872331257952e-4	signalling_state_marker
IKBA	2	ip70S6K_EGF	0.9970380842988465	0.9170492128801819	0.037607357559193685	-0.004279481959269499	signalling_state_marker
IKBA	3	ip70S6K_EGF	1.0070662856968553	0.7927858178006775	0.10084412757676485	0.010158645508404621	signalling_state_marker
IKBA	4	ip70S6K_EGF	1.0055339135535213	0.9000010630599651	0.0457569775820039	0.007961740112084262	signalling_state_marker
IKBA	5	ip70S6K_EGF	1.007490385350234	0.7805421298782393	0.10760365085928544	0.01076607093813216	signalling_state_marker
IKBA	6	ip70S6K_EGF	1.0680939589215541	0.024245339614713167	1.6153717281595972	0.09503856472933912	signalling_state_marker
IKBA	7	ip70S6K_EGF	0.963271358108228	0.22514795938301946	0.6475319848889696	-0.0539858255309898	signalling_state_marker
IKBA	8	ip70S6K_EGF	0.9842987022299534	0.7053761100673985	0.15157925326166286	-0.02283190246129541	signalling_state_marker
IKBA	9	ip70S6K_EGF	1.0927168090652737	0.015019788295035339	1.8233361886997537	0.12791955737394858	signalling_state_marker
JAGGED_1	1	ip70S6K_EGF	1.0265619440360938	0.6352660691196583	0.19704434061567716	0.03782068410252272	signalling_state_marker
JAGGED_1	2	ip70S6K_EGF	1.0055425190672012	0.8838191848634467	0.053636575539168785	0.00797408686500618	signalling_state_marker
