"","sample_id","plate_number","treatment","cluster_round_2","cluster_round_5","cluster_round_6","cluster_round_7","cluster_round_8"
"292","plate_12_236","plate_12","EGF",3,1,3,1,1
"293","plate_6_236","plate_6","EGF",1,4,1,3,3
"294","plate_8_236","plate_8","ip70S6K_EGF",7,8,8,8,8
"295","plate_11_159","plate_11","iRSK_EGF",7,8,8,8,8
"296","plate_13_159","plate_13","EGF",5,5,5,5,6
"297","plate_3_159","plate_3","ip70S6K_EGF",2,5,2,2,2
"298","plate_8_159","plate_8","iRSK_EGF",2,2,2,2,2
"299","plate_9_159","plate_9","ip70S6K_EGF",4,6,4,6,7
"300","plate_13_219","plate_13","ip70S6K_EGF",3,1,3,1,1
"301","plate_4_219","plate_4","ip70S6K_EGF",5,5,5,5,6
"302","plate_6_219","plate_6","EGF",3,1,3,1,1
"303","plate_7_219","plate_7","ip70S6K_EGF",1,2,2,2,2
"304","plate_10_212","plate_10","ip70S6K_EGF",4,6,4,3,7
"305","plate_13_212","plate_13","EGF",5,5,5,5,6
"306","plate_2_212","plate_2","iRSK_EGF",5,5,4,6,6
"307","plate_4_212","plate_4","EGF",2,2,2,2,2
"308","plate_7_212","plate_7","iRSK_EGF",6,1,6,1,1
"309","plate_9_212","plate_9","iRSK_EGF",1,2,2,2,2
"310","plate_10_238","plate_10","EGF",5,5,5,5,6
"311","plate_11_238","plate_11","EGF",5,5,5,5,6
"312","plate_2_238","plate_2","ip70S6K_EGF",2,2,2,2,2
"313","plate_7_238","plate_7","ip70S6K_EGF",3,1,3,1,1
"314","plate_10_232","plate_10","ip70S6K_EGF",9,9,9,9,9
"315","plate_3_232","plate_3","iRSK_EGF",3,7,3,4,4
"316","plate_7_232","plate_7","ip70S6K_EGF",3,7,3,4,4
"317","plate_9_232","plate_9","EGF",6,1,6,1,1
"318","plate_10_180","plate_10","EGF",1,4,1,4,4
"319","plate_13_180","plate_13","iRSK_EGF",3,1,3,1,1
"320","plate_3_180","plate_3","iRSK_EGF",3,7,3,4,4
"321","plate_4_180","plate_4","iRSK_EGF",8,3,7,7,5
"322","plate_6_180","plate_6","EGF",2,2,2,2,2
"323","plate_7_180","plate_7","EGF",4,6,4,6,7
"324","plate_9_180","plate_9","EGF",7,4,1,8,3
"325","plate_10_204","plate_10","EGF",4,6,4,6,7
"326","plate_12_204","plate_12","EGF",3,7,3,1,1
"327","plate_3_204","plate_3","ip70S6K_EGF",5,5,4,6,6
"328","plate_6_204","plate_6","EGF",7,8,8,8,8
"329","plate_8_204","plate_8","EGF",1,2,1,3,3
"330","plate_10_210","plate_10","EGF",3,7,3,4,4
"331","plate_11_210","plate_11","EGF",1,2,1,3,3
"332","plate_12_210","plate_12","EGF",2,2,2,2,2
"333","plate_13_210","plate_13","iRSK_EGF",2,2,2,2,2
"334","plate_2_210","plate_2","ip70S6K_EGF",4,6,4,6,7
"335","plate_3_210","plate_3","EGF",5,5,5,5,6
"336","plate_6_210","plate_6","ip70S6K_EGF",3,1,3,1,1
"337","plate_7_210","plate_7","ip70S6K_EGF",8,3,7,7,5
"338","plate_8_210","plate_8","iRSK_EGF",8,3,7,7,5
"339","plate_10_224","plate_10","EGF",5,5,8,5,6
"340","plate_12_224","plate_12","EGF",3,7,3,4,4
"341","plate_4_224","plate_4","EGF",3,7,3,4,4
"342","plate_6_224","plate_6","iRSK_EGF",7,8,8,8,8
"343","plate_7_224","plate_7","iRSK_EGF",1,4,1,3,3
"344","plate_11_228","plate_11","EGF",5,8,8,8,8
"345","plate_13_228","plate_13","iRSK_EGF",7,8,8,8,8
"346","plate_3_228","plate_3","iRSK_EGF",4,6,3,6,7
"347","plate_4_228","plate_4","ip70S6K_EGF",6,1,5,1,1
"348","plate_6_228","plate_6","iRSK_EGF",4,7,1,3,3
"349","plate_9_228","plate_9","EGF",7,8,8,8,8
"350","plate_10_201","plate_10","ip70S6K_EGF",1,2,2,2,2
"351","plate_12_201","plate_12","ip70S6K_EGF",1,2,1,3,3
"352","plate_13_201","plate_13","EGF",7,8,8,8,8
"353","plate_2_201","plate_2","EGF",7,4,1,8,3
"354","plate_4_201","plate_4","EGF",5,5,5,5,6
"355","plate_6_201","plate_6","iRSK_EGF",2,5,5,5,6
"356","plate_9_201","plate_9","iRSK_EGF",6,1,6,1,1
"357","plate_11_211","plate_11","ip70S6K_EGF",1,2,1,4,4
"358","plate_12_211","plate_12","EGF",5,5,4,6,6
"359","plate_4_211","plate_4","ip70S6K_EGF",1,4,1,4,4
"360","plate_7_211","plate_7","ip70S6K_EGF",2,3,2,2,2
"361","plate_8_211","plate_8","iRSK_EGF",7,8,8,8,8
"362","plate_10_220","plate_10","ip70S6K_EGF",6,1,6,1,1
"363","plate_11_220","plate_11","ip70S6K_EGF",2,3,2,2,2
"364","plate_12_220","plate_12","EGF",5,5,9,5,6
"365","plate_3_220","plate_3","EGF",5,5,5,5,6
"366","plate_4_220","plate_4","ip70S6K_EGF",7,8,8,8,8
"367","plate_6_220","plate_6","EGF",4,6,4,6,7
"368","plate_7_220","plate_7","EGF",3,1,3,1,1
"369","plate_9_220","plate_9","EGF",5,5,5,5,6
"370","plate_10_214","plate_10","EGF",3,7,3,4,4
"371","plate_3_214","plate_3","iRSK_EGF",7,8,8,8,8
"372","plate_4_214","plate_4","iRSK_EGF",7,4,1,8,4
"373","plate_6_214","plate_6","iRSK_EGF",2,2,2,2,2
"374","plate_7_214","plate_7","EGF",4,6,4,6,7
"375","plate_12_202","plate_12","iRSK_EGF",2,3,2,2,2
"376","plate_13_202","plate_13","iRSK_EGF",6,1,6,1,1
"377","plate_2_202","plate_2","iRSK_EGF",1,4,1,3,3
"378","plate_3_202","plate_3","ip70S6K_EGF",6,5,5,5,1
"379","plate_4_202","plate_4","EGF",5,5,5,5,6
"380","plate_6_202","plate_6","ip70S6K_EGF",3,7,3,4,4
"381","plate_7_202","plate_7","ip70S6K_EGF",6,1,6,1,1
"382","plate_8_202","plate_8","ip70S6K_EGF",4,6,4,6,7
"383","plate_10_218","plate_10","EGF",1,2,2,2,2
"384","plate_2_218","plate_2","EGF",1,2,1,4,7
"385","plate_7_218","plate_7","EGF",2,3,7,2,5
"386","plate_8_218","plate_8","iRSK_EGF",7,4,1,8,3
"387","plate_9_218","plate_9","iRSK_EGF",7,8,8,8,8
"388","plate_10_244","plate_10","ip70S6K_EGF",9,9,9,9,9
"389","plate_11_244","plate_11","ip70S6K_EGF",9,9,9,9,9
"390","plate_12_244","plate_12","EGF",7,8,8,8,8
"391","plate_4_244","plate_4","iRSK_EGF",9,9,9,9,9
"392","plate_8_244","plate_8","EGF",5,5,5,5,6
"393","plate_9_244","plate_9","EGF",7,8,8,8,4
"394","plate_10_194","plate_10","EGF",3,7,3,4,4
"395","plate_12_194","plate_12","ip70S6K_EGF",2,3,2,2,2
"396","plate_3_194","plate_3","ip70S6K_EGF",6,1,6,1,1
"397","plate_8_194","plate_8","iRSK_EGF",7,4,8,4,4
